"metrics","values"
"auc",0.977908738317745
"cbi",0.95280098094141
"pr",0.046929003885607
"prg",0.950636358087637
"tss_maxsss",0.87551769470405
"spec_maxsss",0.922246666666667
"sens_maxsss",0.953271028037383
"kap_maxsss",NA
"fmeas_maxsss",0.033772038738515
"opr_maxsss",0.982809471644055
"upr_maxsss",7.22820155117205e-05
"tss_mtp",0.78912
"spec_mtp",0.78912
"sens_mtp",1
"kap_mtp",NA
"fmeas_mtp",0.0133499688084841
"opr_mtp",0.993280160773723
"upr_mtp",0
"tss_p10",0.84592292834891
"spec_p10",0.948726666666667
"sens_p10",0.897196261682243
"kap_p10",NA
"fmeas_p10",0.0474249722119303
"opr_p10",0.975643790435114
"upr_p10",0.00015456927865328
